,13:25-15:00,Алгебра и геометрия доц. Чуракова Т.А. 477,,,,,,,,Алгебра и геометрия (id=4525) доц. Атанов А.В. 380,,История России доц. Лавлинский С.А. 307П,,,,МЛ и ТА ст.преп. Пашкевич А.А. 316П,Ин.яз. преп. Гавриш О.А. 309П,Дискретная математика (id=15504) проф. Кургалин С.Д. 479,,,,Аппаратные средства вычислительной техники (id=32392) доц. Ветохин В.В. 505П,,Математический анализ ст.преп. Толкачев А.В.  305П,,История России преп. Киселёва М.В.  303П,Теоретическая механика доц. Михин Е.А. 295,,Аналитическая геометрия проф. Вахитова Е.В. 292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Методы вычислений (id=31538) доц. Фролова О.А. 480,,,,,,,,,Проектирование ЦС (id=2994)  ст.преп. Малыхин А.Ю. 387,Проектирование ЦС (id=2994)  ст.преп. Малыхин А.Ю. 387,,,Архитектура ИС (id=4607)  асс. Семечев Д.А. 382,,Разработка приложений для систем машинного обучения (id=28782) асс. Отырба Р.Р. 290,Разработка приложений для систем машинного обучения (id=28782) асс. Отырба Р.Р. 290,НИР,НИР,НИР,НИР,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 383,,,,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 291,"Алгоритмы на строках (id=6425)
проф. Махортов С.Д. 381",,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С. 301П,КОЗИОИ доц. Мальцев А.С. 293,Основы построения защищенных баз данных (id=5450) доц. Ляликова В.Г. (ДО),Основы построения защищенных баз данных (id=5450) доц. Ляликова В.Г. (ДО),Основы построения защищенных баз данных (id=5450) доц. Ляликова В.Г. (ДО),Анализ информации в организационных системах доц. Громковский А.А. 385,ОТУ (id=16078) доц. Алейникова Н.А. 297,Проектно-технологическая практика,,,НСиГА ст.преп. Максимов А.В. 384,Квантовая теория информации (id=25774) доц. Борзунов С.В. 314П,
,,,,,,,,,,,Ин.яз. доц. Стрельникова М.А. 308П,История России доц. Лавлинский С.А. 505П,,Дискретная математика (id=20352) доц. Каверина В.К. 316П,,Ин.яз. преп. Гавриш О.А. 309П,,,,,,Аппаратные средства вычислительной техники (id=32392) доц. Ветохин В.В. 380,,,,История России преп. Киселёва М.В.  307П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 290,,,,,Архитектура ИС (id=4607) асс. Семечев Д.А. 382,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 383,Архитектура ИС (id=4607) ст.преп. Попова Е.В. 383,,,,,,,,,Разработка и АТ доц. Вахтин А.А. 291,,,,,,,,,,,,,,,,Квантовая теория информации (id=25774) доц. Борзунов С.В. 314П,,
,15:10-16:45,,,,Ин.яз. ст.преп. Барсукова Н.В. 308П,,,История России доц. Лавлинский С.А. 505П,,,Ин.яз. доц. Стрельникова М.А. 303П,Основы работы в ОС Linux (id=31485) ст.преп. Нужных А.В. 383,Ин.яз. преп. Семенов В.П. 309П,,,,,,,,,МиО доц. Михин Е.А. 301П,,История России преп. Киселёва М.В.  305П,,Математический анализ  асс. Бережных И.А. 307П,Математический анализ доц. Канищева О.И. 477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Методы вычислений (id=31538) доц. Фролова О.А. 480,Методы вычислений (id=31538) доц. Фролова О.А. 480,,,,,,,,Проектирование ЦС (id=2994)  ст.преп. Малыхин А.Ю. 387,Проектирование ЦС (id=2994)  ст.преп. Малыхин А.Ю. 387,,,,,ТЗОиБ (id=7348) доц. Вялых С.А.  316П,ТЗОиБ (id=7348) доц. Вялых С.А.  316П,НИР,НИР,НИР,НИР,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 292,,,,"Алгоритмы на строках (id=6425)
проф. Махортов С.Д. 381",,,,,,,КОЗИОИ доц. Мальцев А.С. 293,Основы построения защищенных баз данных (id=5450) доц. Ляликова В.Г. (ДО),,,Проектно-технологическая практика,Анализ информации в организационных системах доц. Громковский А.А. 385,ОТУ (id=16078) доц. Алейникова Н.А. 297,,,,НСиГА ст.преп. Максимов А.В. 384,
,,,,,,,,,,,,,,,Ин.яз. ст.преп. Барсукова Н.В.  308П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 292,,,,,Архитектура ИС (id=4607) асс. Семечев Д.А. 382,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 292,,,,,,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 292,,,,,,,,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С. 301П,,,,,,,,,,,
,16:55-18:30,Ин.яз. преп. Семенов В.П. 309П,,,,,,,,,,,,,,,,,,,,,,Математический анализ доц. Канищева О.И. 477,,,Математический анализ асс. Бережных И.А. 292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование ЦС (id=2994) ст.преп. Малыхин А.Ю. 387,Проектирование ЦС (id=2994) ст.преп. Малыхин А.Ю. 387,,,,,ТЗОиБ (id=7348) доц. Вялых С.А.  316П,ТЗОиБ (id=7348) доц. Вялых С.А.  316П,,,,,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 383,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 383,,,,,,,,,,Безопасность компьютерных сетей ст.преп. Коваль А.С. 301П,Защита программ и данных (id=18455)  доц. Сафронов В.В. (ДО),,,Проектно-технологическая практика,Проектно-технологическая практика,Анализ информации в организационных системах доц. Громковский А.А. 381,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ин.яз. преп. Семенов В.П. 309П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алгоритмы на строках (id=6425) проф. Махортов С.Д. 316П,Алгоритмы на строках (id=6425) проф. Махортов С.Д. 316П,Распределенные системы вычислений (id=32377) проф. Абрамов Г.В. 290,,,,,,,,,,,,,,,,,,,,,,
,18:40-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,Математический анализ асс. Бережных И.А. 292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Проектирование ЦС (id=2994) ст.преп. Малыхин А.Ю. 387,Проектирование ЦС (id=2994) ст.преп. Малыхин А.Ю. 387,,,,,,,,,,,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 383,Интеллектуальный анализ производственных данных (id=32454) ст.преп. Успехов А.А. 383,,,,,,,,,,,Криптографические протоколы (id=11108) доц. Степанец Ю.А. (ДО),Криптографические протоколы (id=11108) доц. Степанец Ю.А. (ДО),Криптографические протоколы (id=11108) доц. Степанец Ю.А. (ДО),,Проектно-технологическая практика,Проектно-технологическая практика,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Алгоритмы на строках (id=6425) проф. Махортов С.Д. 316П,Алгоритмы на строках (id=6425) проф. Махортов С.Д. 316П,,,,,,,,,,,,,,,,,,,,,,,
,20:10-21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Защита программ и данных (id=18455)  доц. Сафронов В.В. (ДО),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вторник,8:00 - 9:35,,Язык Си (id=4746) доц. Чернышов М.К. 382,Ин.яз. преп. Гавриш О.А. 301П,,,,,,,,Алгебра и геометрия (id=4525) доц. Атанов А.В. 479,,,,,,,,Ин.яз. доц. Барабушка И.А. 309П,,,,,,,,Ин.яз. преп. Гафарова М.Х.   303П,Алгебра проф. Вахитова Е.В. 305П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Интеграция бизнес-процессов в ERP системах (id=3107) асс. Крутаков Р.С. 316П,Интеграция бизнес-процессов в ERP системах (id=3107) асс. Крутаков Р.С. 316П,,,,,Язык программирования C++ асс. Борисов А.Д. 385,,,Информационные сети (id=2215) асс. Соколов В.А. 295,НИР,НИР,,,,Экспериментально-исследовательская практика,Военная кафедра,,НИР,НИР,,НИР,,,,,,,НИР,НИР,НИР,НИР,,"Архитектура ИС (id=4607)
ст.преп. Попова Е.В. 384",,,,,,,,,,,,,,,ВУЦ,ВУЦ,,Управление проектами (id=24215) ст.преп. Тарасов В.С. 383,,Теория систем и системный анализ (id=13938)  проф. Матвеев М.Г. 297,,,,,
,,,АиСД (id=5509) ст.преп. Нужных А.В. 385,,Web-техн. (id=31548) ст.преп. Ермаков М.В. 387,,,,,,,,,,,,,Ин.яз. доц. Вострикова И.Ю.  309П,МиО доц. Михин Е.А. 301П,,Ин.яз. доц. Барабушка И.А. 308П,,,,,Ин.яз. доц. Стрельникова М.А. 303П,Аналитическая геометрия проф. Вахитова Е.В. 305П,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Интеграция бизнес-процессов в ERP системах (id=3107) асс. Крутаков Р.С. 316П,,,,,,ИТ доц. Вахтин А.А. 297,Язык программирования C++ асс. Борисов А.Д.  293,Информационные сети (id=2215) асс. Соколов В.А. 295,,,,,,,,,,,,Ин.яз. преп. Гафарова М.Х. 307П,,,,,,,,,,,,"Архитектура ИС (id=4607)
ст.преп. Попова Е.В. 384",,,,,,,,,,,,,,,,,,,Управление проектами (id=24215) ст.преп. Тарасов В.С. 383,,,,,,,
,9:45 - 11:20,АиСД (id=5509) ст.преп. Нужных А.В. 385,,Язык Си (id=4746) доц. Чернышов М.К.  381,,Ин.яз. преп. Землянухина В.А. 308П,,,,АиСД ст.преп. Соломатин Д.И. 295,,Математический анализ ст.преп. Пашкевич А.А. 505П,,,,Ин.яз. преп. Гавриш О.А. 307П,,Алгебра и геометрия доц. Чуракова Т.А. 292,,,,,Ин.яз. преп. Гафарова М.Х. 301П,Алгебра и геометрия (id=4524) доц. Атанов А.В. 479,,,Аналитическая геометрия проф. Вахитова Е.В. 477,,,,Интеллектуальные права в цифровых технологиях (id=28388) доц. Борисова А.А. (ДО),,,,,,,,Интеллектуальные права в цифровых технологиях (id=28388)  доц. Борисова А.А. (ДО),,,,,,,,,,,,Корпоративные сети и сервисы (id=29433) доц. Лебедев А.В. (ДО),,,Дифференциальные уравнения (id=10349) доц. Каверина В.К. (ДО),,,,,,,,,,НСТОИ  (id=2546) асс. Отырба Р.Р. 290,НСТОИ  (id=2546) асс. Отырба Р.Р. 290,Интеграция бизнес-процессов в ERP (id=3107) системах асс. Крутаков Р.С.  291,Интеграция бизнес-процессов в ERP (id=3107) системах асс. Крутаков Р.С.  291,,,,,Язык программирования C++ асс. Борисов А.Д. 316П,,Информационные сети (id=2215) асс. Соколов В.А. 293,,НИР,НИР,КТ доц. Стадная Н.П. 383,,Ин.яз. доц. Барабушка И.А. 309П,Экспериментально-исследовательская практика,,,НИР,НИР,НИР,РО (id=4103) ст.преп. Акимов А.В. 297,,,НИР,НИР,,,НИР,НИР,НИР,НИР,,"Архитектура ИС (id=4607)
ст.преп. Попова Е.В. 387",,,,,,,,,,,,,,,,,,Теория систем и системный анализ (id=13938)  проф. Матвеев М.Г. 314П,,Управление проектами (id=24215)  ст.преп. Тарасов В.С. 303П,,,,,Теория радиотехнических систем преп. Логунов А.А. 214
,,,Web-техн. (id=31548) ст.преп. Ермаков М.В. 387,АиСД (id=5509) ст.преп. Нужных А.В. 385,,,Ин.яз. преп. Землянухина В.А. 381,,,Алгебра и геометрия (id=4525) доц. Атанов А.В. 380,,,,Ин.яз. ст.преп. Барсукова Н.В.  307П,,,Ин.яз. преп. Гавриш О.А. 479,,,,,Ин.яз. преп. Гафарова М.Х. 305П,МиО доц. Михин Е.А. 301П,Ин.яз. доц. Барабушка И.А. 309П,"Пр. на ЭВМ по дисц. ""Программирование"" доц. Авсеева О.В. 291","Пр. на ЭВМ по дисц. ""Программирование"" ст.преп. Соломатин Д.И.  384",,,,,,,,,,,,,,,,,,,Культурология доц. Якушкина Е.И. (ДО),,,,,,Культурология доц. Якушкина Е.И. (ДО),,,,,,,,,,,,,НСТОИ (id=2546) асс. Отырба Р.Р.  316П,НСТОИ (id=2546) асс. Отырба Р.Р.  316П,Решение бизнес-задач (id=4044) проф. Матвеев М.Г. 295,Решение бизнес-задач (id=4044) проф. Матвеев М.Г. 295,,,,,Информационные сети (id=2215) асс. Соколов В.А. 293,ИТ доц. Вахтин А.А. 297,Язык программирования C++ асс. Борисов А.Д. 383,,,,Ин.яз. доц. Вострикова И.Ю. 308П,,ЗИ от утечки по ТК (id=29482)  асс. Канюс А.С. 303П,,,,,,,,,,,,,,,,,,"Архитектура ИС (id=4607)
ст.преп. Попова Е.В. 382",,,,,,,,,,,,,,,,,,,,,Управление проектами (id=24215)  ст.преп. Тарасов В.С. 290,,,,,
,11:30-13:05,Архитектура ЭВМ (id=3) доц. Ветохин В.В.  295,,Алгебра и геометрия доц. Чуракова Т.А. 307П,,Ин.яз. преп. Землянухина В.А. 308П,,,,Язык Си (id=4746) доц. Чернышов М.К. 387,Основы работы в ОС Linux ст.преп. Соломатин Д.И. 384,,,,Основы работы в ОС Linux (id=31485) ст.преп. Нужных А.В.  382,Алгебра и геометрия (id=4525) доц. Атанов А.В. 380,,ДМ ст.преп. Толкачев А.В.  292,,ТФКП доц. Некрасова Н.Н. 305П,,Математический анализ ст.преп. Пашкевич А.А. 505П,,"Пр. на ЭВМ по дисц. ""Программирование"" доц. Авсеева О.В. 291",Ин.яз. доц. Барабушка И.А. 309П,Программирование ст.преп. Соломатин Д.И. 293,Алгебра проф. Вахитова Е.В. 477,,,,Теория информационных процессов и систем (id=25794) проф. Десятирикова Е.Н. (ДО),,,,,,,,Теория информационных процессов и систем (id=25794) проф. Десятирикова Е.Н. (ДО),,,,,,Теория информационных процессов и систем (id=25794) проф. Десятирикова Е.Н. (ДО),,,,,,Организация бизнес-процессов (id=30575) доц. Громковский А.А. (ДО),,,Математическая статистика (id=7209) проф. Клинских А.Ф. (ДО),,,,,,,,,,Обработка изображений (id=3808) асс. Отырба Р.Р. 290,Обработка изображений (id=3808) асс. Отырба Р.Р. 290,Решение бизнес-задач  (id=4044) проф. Матвеев М.Г. 479,,,,,,Информационные сети (id=2215) асс. Соколов В.А. 316П,,Основы DevOps (id=31486) асс. Хакимов Л.Н. 385,,НИР,НИР,ЗИ от утечки по ТК (id=29482) асс. Канюс А.С. 303П,Безопасность операционных систем (id=4418) доц. Самодуров А.С. 301П,КТ доц. Стадная Н.П. 297,,,,,,,Теория информации  (id=3432) доц. Борзунов С.В. 381,НИР,,НИР,НИР,,,НИР,НИР,НИР,НИР,,,НИР,НИР,,,,,,,,,,,,,,,,Теория систем и системный анализ (id=13938) проф. Матвеев М.Г. 314П,,Управление проектами (id=24215) ст.преп. Тарасов В.С. 383,,,,,Теория радиотехнических систем преп. Логунов А.А. 214
